127.0.0.1 - - [19/Nov/2014:02:21:38 +0700] "GET / HTTP/1.1" 404 951
161.246.5.24 - - [19/Nov/2014:02:21:38 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
161.246.5.24 - - [19/Nov/2014:02:21:38 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/lobby.html HTTP/1.1" 200 7291
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/js/jquery-1.11.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/game.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:39 +0700] "GET /WEREWOLFGAME/fonts/glyphicons-halflings-regular.eot? HTTP/1.1" 304 -
161.246.5.24 - - [19/Nov/2014:02:21:39 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
161.246.5.24 - - [19/Nov/2014:02:21:40 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
161.246.5.24 - - [19/Nov/2014:02:21:41 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:42 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:42 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:43 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:43 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:44 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:44 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:45 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:45 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:46 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:46 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:47 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:47 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:48 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:48 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:49 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:49 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:50 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
161.246.5.24 - - [19/Nov/2014:02:21:50 +0700] "POST /WEREWOLFGAME/service/room/join HTTP/1.1" 400 1070
0:0:0:0:0:0:0:1 - - [19/Nov/2014:02:21:51 +0700] "POST /WEREWOLFGAME/service/gameUI/lobby HTTP/1.1" 200 122
